"FileName","Well","Treatment","2N peak","4N peak","< 2N","2N","S","4N","> 4N","Total","< 2N (%)","2N (%)","S (%)","4N (%)","> 4N (%)"
"Nuclei_CCD841","A01","Untreated",5.4081632653061229,10.183673469387756,61.0,1520.0,41.0,172.0,22.0,1816.0,3.3590308370044051,83.70044052863436,2.2577092511013213,9.4713656387665193,1.2114537444933922
"Nuclei_CCD841","A02","Untreated",5.591836734693878,10.183673469387756,47.0,1808.0,35.0,133.0,24.0,2047.0,2.2960429897410846,88.324377137274055,1.7098192476795311,6.497313141182218,1.172447484123107
"Nuclei_CCD841","A03","Untreated",5.591836734693878,10.36734693877551,40.0,1922.0,33.0,178.0,19.0,2192.0,1.824817518248175,87.68248175182481,1.5054744525547445,8.1204379562043787,0.86678832116788318
"Nuclei_CCD841","A04","Untreated",5.591836734693878,10.183673469387756,44.0,1985.0,20.0,158.0,15.0,2222.0,1.9801980198019802,89.333933393339336,0.90009000900090008,7.1107110711071106,0.67506750675067506
"Nuclei_CCD841","A05","Untreated",5.4081632653061229,10.183673469387756,59.0,1756.0,39.0,152.0,24.0,2030.0,2.9064039408866997,86.502463054187189,1.9211822660098521,7.48768472906404,1.1822660098522169
"Nuclei_CCD841","A06","Untreated",5.7755102040816331,10.73469387755102,32.0,1989.0,43.0,187.0,18.0,2269.0,1.4103129131776113,87.659762009695896,1.8951079770824151,8.2415160863816652,0.79330101366240635
"Nuclei_CCD841","A07","Untreated",5.4081632653061229,10.36734693877551,36.0,1843.0,52.0,149.0,16.0,2096.0,1.717557251908397,87.929389312977108,2.4809160305343512,7.1087786259541987,0.76335877862595414
"Nuclei_CCD841","A08","Untreated",5.4081632653061229,10.36734693877551,49.0,1963.0,37.0,166.0,24.0,2239.0,2.188476998660116,87.673068334077712,1.6525234479678428,7.4140241179097819,1.0719071013845467
"Nuclei_CCD841","A09","Untreated",5.591836734693878,10.73469387755102,47.0,1841.0,30.0,156.0,21.0,2095.0,2.2434367541766109,87.875894988066833,1.431980906921241,7.4463007159904535,1.0023866348448687
"Nuclei_CCD841","A10","Untreated",5.4081632653061229,10.36734693877551,43.0,1935.0,47.0,158.0,30.0,2213.0,1.9430637144148215,87.437867148666967,2.1238138273836422,7.139629462268414,1.3556258472661544
"Nuclei_CCD841","A11","Untreated",5.591836734693878,10.551020408163266,61.0,1882.0,34.0,172.0,22.0,2171.0,2.8097650852141869,86.68816213726393,1.5660985720865959,7.9226163058498393,1.0133578995854444
"Nuclei_CCD841","A12","Untreated",5.591836734693878,10.551020408163266,54.0,1718.0,30.0,170.0,41.0,2013.0,2.6825633383010432,85.345255837059113,1.4903129657228018,8.4451068057625438,2.0367610531544957
"Nuclei_CCD841","B01","DMSO-Pac",5.591836734693878,10.183673469387756,55.0,2008.0,67.0,171.0,30.0,2331.0,2.3595023595023594,86.143286143286147,2.8743028743028742,7.3359073359073363,1.287001287001287
"Nuclei_CCD841","B02","DMSO-Pac",5.4081632653061229,10.551020408163266,40.0,2060.0,107.0,236.0,22.0,2465.0,1.6227180527383367,83.569979716024349,4.3407707910750508,9.5740365111561871,0.89249492900608518
"Nuclei_CCD841","B03","DMSO-Pac",5.591836734693878,10.183673469387756,54.0,2199.0,42.0,199.0,24.0,2518.0,2.1445591739475778,87.331215250198568,1.6679904686258933,7.9030976965845907,0.95313741064336788
"Nuclei_CCD841","B04","Paclitaxel 1.6 nM",5.4081632653061229,10.0,63.0,2070.0,107.0,202.0,48.0,2490.0,2.5301204819277108,83.132530120481931,4.2971887550200805,8.1124497991967868,1.9277108433734942
"Nuclei_CCD841","B05","Paclitaxel 1.6 nM",5.4081632653061229,10.36734693877551,41.0,2162.0,71.0,200.0,19.0,2493.0,1.6446048937023665,86.722823906939425,2.8479743281187324,8.022462896109106,0.76213397513036496
"Nuclei_CCD841","B06","Paclitaxel 1.6 nM",5.4081632653061229,10.183673469387756,47.0,2050.0,57.0,214.0,19.0,2387.0,1.9689987431922917,85.881860075408468,2.3879346459991622,8.9652283200670304,0.79597821533305413
"Nuclei_CCD841","B07","Paclitaxel 5 nM",5.4081632653061229,10.36734693877551,29.0,2064.0,92.0,206.0,33.0,2424.0,1.1963696369636965,85.148514851485146,3.7953795379537953,8.4983498349834985,1.3613861386138615
"Nuclei_CCD841","B08","Paclitaxel 5 nM",5.4081632653061229,10.36734693877551,66.0,2177.0,64.0,191.0,18.0,2516.0,2.6232114467408585,86.526232114467405,2.5437201907790143,7.5914149443561199,0.71542130365659784
"Nuclei_CCD841","B09","Paclitaxel 5 nM",5.4081632653061229,10.0,57.0,2065.0,42.0,192.0,24.0,2380.0,2.3949579831932777,86.764705882352942,1.7647058823529411,8.0672268907563023,1.0084033613445378
"Nuclei_CCD841","B10","Paclitaxel 15 nM",5.4081632653061229,10.183673469387756,54.0,1971.0,49.0,181.0,10.0,2265.0,2.3841059602649008,87.019867549668874,2.1633554083885209,7.9911699779249448,0.44150110375275936
"Nuclei_CCD841","B11","Paclitaxel 15 nM",5.4081632653061229,10.36734693877551,53.0,1956.0,52.0,185.0,29.0,2275.0,2.3296703296703294,85.978021978021985,2.2857142857142856,8.1318681318681314,1.2747252747252749
"Nuclei_CCD841","B12","Paclitaxel 15 nM",5.591836734693878,10.551020408163266,84.0,1856.0,59.0,177.0,21.0,2197.0,3.8233955393718713,84.478834774692771,2.6854802002730995,8.0564406008192986,0.95584888484296782
